name,meal,cuisine,url
chana masala,lunch/dinner,indian,https://www.indianhealthyrecipes.com/chana-masala/
kadhi pakora,lunch/dinner,indian,https://www.indianhealthyrecipes.com/kadhi-pakora-recipe/
vegan mashed potatoes,lunch/dinner,other,custom/vegan_mashed_potatoes.txt
cucmber salad,lunch/dinner,other,custom/cucumber_salad.txt
chickpea salad,lunch/dinner,other,https://www.spendwithpennies.com/chickpea-salad/
pepper and egg sandwich,lunch/dinner,italian,https://leitesculinaria.com/101224/recipes-pepper-egg-sandwich.html 
chili,lunch/dinner,other,https://cookieandkate.com/vegetarian-chili-recipe/
vegan peanut butter cookies,dessert,other,https://www.mydarlingvegan.com/vegan-chocolate-dipped-peanut-butter-cookies/
vegetable curry,lunch/dinner,indian,https://holycowvegan.net/easy-vegetable-curry/
vegan jambalaya,lunch/dinner,creole,https://simple-veganista.com/vegan-jambalaya/
vegan tikka masala,lunch/dinner,indian,https://www.noracooks.com/vegan-tikka-masala/
mushroom makhani,lunch/dinner,indian,https://holycowvegan.net/mushroom-makhani/
punjabi samosa,lunch/dinner,indian,https://holycowvegan.net/punjabi-samosa-recipe/
vegan irish stew,lunch/dinner,irish,https://simple-veganista.com/vegan-irish-stew/
vegan strawberry shortcake,dessert,other,https://simple-veganista.com/vegan-strawberry-shortcake/
vegan potato leek soup,lunch/dinner,other,https://simple-veganista.com/vegan-potato-leek-soup/
vegan caesar salad,lunch/dinner,italian,https://simple-veganista.com/vegan-caesar-salad/
vegan french onion soup,lunch/dinner,french,https://simple-veganista.com/vegan-french-onion-soup/
vegan pozole verde,lunch/dinner,mexican,https://simple-veganista.com/posole-verde/#tasty-recipes-37063-jump-target
potato leek frittata,breakfast,italian,https://www.noracooks.com/vegan-frittata/#wprm-recipe-container-20492
vegan breakfast burrito,breakfast,mexican,https://www.noracooks.com/vegan-breakfast-burritos/
vegan breakfast casserole,breakfast,other,https://www.noracooks.com/vegan-breakfast-casserole/
vegan apple cider donuts,dessert,other,https://www.noracooks.com/vegan-apple-cider-donuts/
vegan breakfast potatoes,breakfast,other,https://www.noracooks.com/breakfast-potatoes/
spicy potato tacos,lunch/dinner,mexican,https://www.noracooks.com/potato-tacos/
vegan pad thai,lunch/dinner,thai,https://www.noracooks.com/vegan-pad-thai/
vegan zuppa toscana,lunch/dinner,italian,https://www.noracooks.com/vegan-zuppa-toscana/
italian chickpea soup,lunch/dinner,italian,https://www.noracooks.com/italian-chickpea-soup/
one-pan tofu stir fry,lunch/dinner,chinese,https://www.noracooks.com/tofu-stir-fry/
gochujang tofu,lunch/dinner,korean,https://www.noracooks.com/gochujang-tofu/
vegan salmon,lunch/dinner,other,https://www.noracooks.com/vegan-salmon/
curry chickpea salad,lunch/dinner,indian,https://www.noracooks.com/curry-chickpea-salad/
vegan poke bowl,lunch/dinner,hawaiian,https://www.noracooks.com/vegan-poke-bowl/#wprm-recipe-container-18562
vegan biryani,lunch/dinner,indian,https://www.noracooks.com/vegan-biryani/
vegan tomato pasta,lunch/dinner,italian,https://www.noracooks.com/one-pot-vegan-pasta/
vegetable korma,lunch/dinner,indian,https://www.noracooks.com/quick-and-easy-vegetable-korma/
vegan alfredo pasta,lunch/dinner,italian,https://www.noracooks.com/vegan-alfredo-sauce/
vegan bulgogi,lunch/dinner,korean,https://www.noracooks.com/vegan-bulgogi/
vegan mac and cheese,lunch/dinner,other,https://www.noracooks.com/vegan-mac-and-cheese-recipe/
vegan mushroom risotto,lunch/dinner,italian,https://www.noracooks.com/mushroom-risotto/
vegan shawarma,lunch/dinner,middle eastern,https://www.noracooks.com/vegan-shawarma/#wprm-recipe-container-15490
vegan moussaka,lunch/dinner,middle eastern,https://www.noracooks.com/vegan-moussaka/
pad kee mao (drunken noodles),lunch/dinner,thai,https://www.noracooks.com/drunken-noodles/
mexican stuffed sweet potatoes,lunch/dinner,mexican,https://www.noracooks.com/stuffed-sweet-potatoes/


